date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2017-07-16 19:00:00,1.14646,1.14684,1.14718,1.14601,1.14697,1.14756,1.14757,1.14681,95
2017-07-16 20:00:00,1.14684,1.14725,1.14727,1.1468,1.14756,1.14756,1.14777,1.1474,88
2017-07-16 21:00:00,1.14725,1.14676,1.14705,1.14632,1.14756,1.14723,1.14756,1.14695,870
2017-07-16 22:00:00,1.14676,1.14691,1.14736,1.14649,1.14723,1.14711,1.14754,1.14679,7678
2017-07-16 23:00:00,1.14691,1.14735,1.14742,1.14689,1.14711,1.14751,1.14758,1.14706,2671
2017-07-17 00:00:00,1.14735,1.1464,1.14739,1.14631,1.14751,1.14655,1.14754,1.14646,4116
2017-07-17 01:00:00,1.1464,1.14612,1.14667,1.14595,1.14655,1.14629,1.14682,1.1461,5397
2017-07-17 02:00:00,1.14612,1.14603,1.14644,1.14561,1.14629,1.14618,1.14657,1.14576,4234
2017-07-17 03:00:00,1.14603,1.14626,1.14652,1.14591,1.14618,1.14641,1.14666,1.14602,3798
2017-07-17 04:00:00,1.14626,1.14606,1.14628,1.14576,1.14641,1.14621,1.14643,1.1459,1995
2017-07-17 05:00:00,1.14606,1.14606,1.14627,1.14561,1.14621,1.14622,1.14642,1.14576,2896
2017-07-17 06:00:00,1.14606,1.1453,1.14617,1.1446,1.14622,1.14545,1.14632,1.14475,13044
2017-07-17 07:00:00,1.1453,1.14402,1.14571,1.1434,1.14545,1.14417,1.14586,1.14355,18740
2017-07-17 08:00:00,1.14402,1.14473,1.14507,1.14386,1.14417,1.1449,1.14522,1.14402,12706
2017-07-17 09:00:00,1.14473,1.14586,1.14594,1.14444,1.1449,1.146,1.14607,1.14458,11830
2017-07-17 10:00:00,1.14586,1.14581,1.14639,1.14546,1.146,1.14597,1.14653,1.1456,10436
2017-07-17 11:00:00,1.14581,1.1463,1.14696,1.14581,1.14597,1.14644,1.14711,1.14595,10613
2017-07-17 12:00:00,1.1463,1.14671,1.14703,1.14598,1.14644,1.14687,1.14717,1.14612,15368
2017-07-17 13:00:00,1.14671,1.14665,1.14674,1.14602,1.14687,1.1468,1.14688,1.14616,20268
2017-07-17 14:00:00,1.14665,1.147,1.14863,1.14653,1.1468,1.14716,1.1488,1.14668,22755
2017-07-17 15:00:00,1.147,1.14684,1.14764,1.1463,1.14716,1.14699,1.14779,1.14644,13533
2017-07-17 16:00:00,1.14684,1.14714,1.14751,1.14679,1.14699,1.14729,1.14766,1.14693,6346
2017-07-17 17:00:00,1.14714,1.14772,1.14801,1.14714,1.14729,1.14788,1.14815,1.14729,7326
2017-07-17 18:00:00,1.14772,1.14799,1.14802,1.14752,1.14788,1.14813,1.14816,1.14767,4981
2017-07-17 19:00:00,1.14799,1.14818,1.14839,1.14751,1.14813,1.14831,1.14853,1.14766,5971
2017-07-17 20:00:00,1.14818,1.14772,1.14825,1.14768,1.14831,1.14798,1.14841,1.14785,2917
2017-07-17 21:00:00,1.14772,1.14777,1.14798,1.14735,1.14798,1.14797,1.1483,1.14767,3285
2017-07-17 22:00:00,1.14777,1.14761,1.14791,1.14747,1.14797,1.14775,1.14808,1.14762,8165
2017-07-17 23:00:00,1.14761,1.14727,1.14785,1.14725,1.14775,1.1474,1.14801,1.1474,1911
2017-07-18 00:00:00,1.14727,1.14844,1.14864,1.14707,1.1474,1.14859,1.14881,1.14723,5527
2017-07-18 01:00:00,1.14844,1.15292,1.15314,1.14843,1.14859,1.15307,1.15328,1.14859,22471
2017-07-18 02:00:00,1.15292,1.15283,1.15371,1.15246,1.15307,1.15298,1.15386,1.15261,11465
2017-07-18 03:00:00,1.15283,1.15272,1.15348,1.15255,1.15298,1.15286,1.15364,1.1527,6797
2017-07-18 04:00:00,1.15272,1.15268,1.15295,1.15225,1.15286,1.15282,1.15311,1.1524,6493
2017-07-18 05:00:00,1.15268,1.15214,1.15345,1.15176,1.15282,1.15229,1.1536,1.15195,8644
2017-07-18 06:00:00,1.15214,1.15259,1.15307,1.15122,1.15229,1.15275,1.15322,1.15138,22766
2017-07-18 07:00:00,1.15259,1.15278,1.15289,1.15105,1.15275,1.15294,1.15304,1.1512,24390
2017-07-18 08:00:00,1.15278,1.15247,1.15314,1.15163,1.15294,1.15264,1.15329,1.15178,24221
2017-07-18 09:00:00,1.15247,1.15512,1.15595,1.15184,1.15264,1.15528,1.1561,1.15199,26980
2017-07-18 10:00:00,1.15512,1.15568,1.15634,1.15489,1.15528,1.15584,1.15649,1.15504,19069
2017-07-18 11:00:00,1.15568,1.15491,1.15594,1.15444,1.15584,1.15506,1.15607,1.15458,18086
2017-07-18 12:00:00,1.15491,1.15552,1.15675,1.15442,1.15506,1.15567,1.1569,1.15457,33004
2017-07-18 13:00:00,1.15552,1.15788,1.15809,1.15531,1.15567,1.15804,1.15822,1.15547,25854
2017-07-18 14:00:00,1.15788,1.15799,1.15825,1.1572,1.15804,1.15813,1.15841,1.15735,21536
2017-07-18 15:00:00,1.15799,1.15772,1.15817,1.15675,1.15813,1.15787,1.15832,1.15689,15814
2017-07-18 16:00:00,1.15772,1.15624,1.15805,1.15577,1.15787,1.15637,1.15819,1.15589,13445
2017-07-18 17:00:00,1.15624,1.15616,1.15637,1.15522,1.15637,1.15631,1.15651,1.15537,9909
2017-07-18 18:00:00,1.15616,1.15604,1.15649,1.15551,1.15631,1.15617,1.15664,1.15566,8334
2017-07-18 19:00:00,1.15604,1.15565,1.15614,1.15513,1.15617,1.15581,1.15627,1.15528,6724
2017-07-18 20:00:00,1.15565,1.15518,1.15577,1.1551,1.15581,1.15544,1.15592,1.15539,2822
2017-07-18 21:00:00,1.15518,1.15528,1.15556,1.15517,1.15544,1.15543,1.15598,1.15541,2395
2017-07-18 22:00:00,1.15528,1.15498,1.15546,1.15495,1.15543,1.15514,1.15564,1.15512,4809
2017-07-18 23:00:00,1.15498,1.15471,1.15518,1.1547,1.15514,1.15487,1.15532,1.15486,3164
2017-07-19 00:00:00,1.15471,1.15439,1.15525,1.15425,1.15487,1.15455,1.15541,1.1544,5598
2017-07-19 01:00:00,1.15439,1.15409,1.15445,1.15404,1.15455,1.15423,1.15459,1.15418,5285
2017-07-19 02:00:00,1.15409,1.15382,1.15435,1.15379,1.15423,1.15398,1.15451,1.15394,2972
2017-07-19 03:00:00,1.15382,1.15383,1.15394,1.15356,1.15398,1.15395,1.15408,1.1537,4062
2017-07-19 04:00:00,1.15383,1.15369,1.15388,1.15362,1.15395,1.15384,1.15404,1.15377,2331
2017-07-19 05:00:00,1.15369,1.1532,1.15371,1.15303,1.15384,1.15334,1.15386,1.15319,5065
2017-07-19 06:00:00,1.1532,1.15288,1.1547,1.15283,1.15334,1.15303,1.15485,1.15297,16012
2017-07-19 07:00:00,1.15288,1.15194,1.15385,1.15182,1.15303,1.15208,1.15399,1.15197,20876
2017-07-19 08:00:00,1.15194,1.15259,1.15269,1.15138,1.15208,1.15274,1.15285,1.15153,15845
2017-07-19 09:00:00,1.15259,1.15291,1.15371,1.15258,1.15274,1.15306,1.15385,1.15273,12388
2017-07-19 10:00:00,1.15291,1.15247,1.1537,1.15229,1.15306,1.15261,1.15384,1.15245,10015
2017-07-19 11:00:00,1.15247,1.15291,1.153,1.15203,1.15261,1.15306,1.15314,1.15217,11459
2017-07-19 12:00:00,1.15291,1.15248,1.15378,1.15231,1.15306,1.15262,1.15393,1.15246,18413
2017-07-19 13:00:00,1.15248,1.15233,1.15358,1.15228,1.15262,1.15244,1.15373,1.15243,19900
2017-07-19 14:00:00,1.15233,1.1517,1.1528,1.15093,1.15244,1.15185,1.15295,1.15106,20820
2017-07-19 15:00:00,1.1517,1.15169,1.15289,1.15122,1.15185,1.15184,1.15305,1.15136,16164
2017-07-19 16:00:00,1.15169,1.15202,1.15223,1.15134,1.15184,1.15215,1.15236,1.15148,8032
2017-07-19 17:00:00,1.15202,1.15163,1.15226,1.15162,1.15215,1.15179,1.15239,1.15177,6521
2017-07-19 18:00:00,1.15163,1.15175,1.15186,1.15126,1.15179,1.15189,1.15201,1.15141,6494
2017-07-19 19:00:00,1.15175,1.15166,1.15187,1.1514,1.15189,1.15181,1.15201,1.15154,5789
2017-07-19 20:00:00,1.15166,1.15138,1.15173,1.15121,1.15181,1.15166,1.15187,1.15137,3466
2017-07-19 21:00:00,1.15138,1.15169,1.15175,1.15115,1.15166,1.15189,1.15211,1.15138,4540
2017-07-19 22:00:00,1.15169,1.15266,1.15274,1.15162,1.15189,1.15282,1.15291,1.15184,4302
2017-07-19 23:00:00,1.15266,1.1528,1.15319,1.15266,1.15282,1.15294,1.15335,1.15282,2206
2017-07-20 00:00:00,1.1528,1.15223,1.15283,1.1522,1.15294,1.15238,1.15299,1.15235,3778
2017-07-20 01:00:00,1.15223,1.15163,1.15257,1.1512,1.15238,1.15178,1.15271,1.15135,7123
2017-07-20 02:00:00,1.15163,1.15227,1.15247,1.15136,1.15178,1.15242,1.15262,1.15151,7487
2017-07-20 03:00:00,1.15227,1.1506,1.15264,1.15043,1.15242,1.15076,1.1528,1.15057,10532
2017-07-20 04:00:00,1.1506,1.15113,1.15113,1.15057,1.15076,1.15127,1.15128,1.15072,4536
2017-07-20 05:00:00,1.15113,1.15106,1.15118,1.15035,1.15127,1.15122,1.15132,1.1505,5151
2017-07-20 06:00:00,1.15106,1.15219,1.15246,1.15079,1.15122,1.15232,1.15261,1.15095,14229
2017-07-20 07:00:00,1.15219,1.14995,1.15222,1.14993,1.15232,1.15009,1.15238,1.15008,20962
2017-07-20 08:00:00,1.14995,1.1504,1.15061,1.14952,1.15009,1.15055,1.15076,1.14965,18887
2017-07-20 09:00:00,1.1504,1.15031,1.15066,1.14961,1.15055,1.15045,1.15081,1.14975,13796
2017-07-20 10:00:00,1.15031,1.15054,1.15115,1.14999,1.15045,1.1507,1.1513,1.15014,13267
2017-07-20 11:00:00,1.15054,1.14841,1.15125,1.14793,1.1507,1.14856,1.1514,1.14805,31862
2017-07-20 12:00:00,1.14841,1.15612,1.15698,1.14785,1.14856,1.15628,1.15714,1.14799,79647
2017-07-20 13:00:00,1.15612,1.15611,1.15732,1.15405,1.15628,1.15625,1.15746,1.1542,42814
2017-07-20 14:00:00,1.15611,1.16339,1.16579,1.1561,1.15625,1.16354,1.16597,1.15623,59167
2017-07-20 15:00:00,1.16339,1.16329,1.16463,1.16267,1.16354,1.16344,1.16477,1.16281,25610
2017-07-20 16:00:00,1.16329,1.16337,1.16391,1.16264,1.16344,1.16352,1.16406,1.16278,12275
2017-07-20 17:00:00,1.16337,1.16283,1.16369,1.16174,1.16352,1.16298,1.16384,1.16191,15024
2017-07-20 18:00:00,1.16283,1.16238,1.1629,1.16169,1.16298,1.16254,1.16303,1.16185,10567
2017-07-20 19:00:00,1.16238,1.16277,1.16301,1.16202,1.16254,1.16292,1.16314,1.16217,9166
2017-07-20 20:00:00,1.16277,1.1629,1.16329,1.16231,1.16292,1.1632,1.16346,1.16246,5530
2017-07-20 21:00:00,1.1629,1.1632,1.1634,1.16283,1.1632,1.16337,1.16381,1.16305,3377
2017-07-20 22:00:00,1.1632,1.16268,1.16351,1.1624,1.16337,1.16284,1.16367,1.16256,4265
2017-07-20 23:00:00,1.16268,1.16277,1.1631,1.16255,1.16284,1.16293,1.16326,1.16271,2269
2017-07-21 00:00:00,1.16277,1.16258,1.16292,1.16185,1.16293,1.16273,1.16307,1.162,6670
2017-07-21 01:00:00,1.16258,1.16285,1.16294,1.16224,1.16273,1.163,1.16309,1.16239,7065
2017-07-21 02:00:00,1.16285,1.16241,1.16357,1.16235,1.163,1.16256,1.16373,1.16249,8970
2017-07-21 03:00:00,1.16241,1.16275,1.1629,1.16227,1.16256,1.16289,1.16305,1.16241,5241
2017-07-21 04:00:00,1.16275,1.16278,1.16297,1.16245,1.16289,1.16294,1.16311,1.1626,4359
2017-07-21 05:00:00,1.16278,1.16392,1.16392,1.16275,1.16294,1.16406,1.16407,1.1629,4701
2017-07-21 06:00:00,1.16392,1.16618,1.16762,1.16361,1.16406,1.16633,1.16778,1.16376,26874
2017-07-21 07:00:00,1.16618,1.1638,1.1673,1.1637,1.16633,1.16395,1.16745,1.16384,23670
2017-07-21 08:00:00,1.1638,1.16486,1.16507,1.16354,1.16395,1.16501,1.1652,1.16369,16051
2017-07-21 09:00:00,1.16486,1.16458,1.16579,1.16378,1.16501,1.16472,1.16593,1.16393,16300
2017-07-21 10:00:00,1.16458,1.16436,1.16513,1.16372,1.16472,1.16451,1.16528,1.16386,12863
2017-07-21 11:00:00,1.16436,1.1641,1.16506,1.16394,1.16451,1.16424,1.1652,1.16409,14367
2017-07-21 12:00:00,1.1641,1.16393,1.16471,1.16345,1.16424,1.16407,1.16485,1.1636,18335
2017-07-21 13:00:00,1.16393,1.16458,1.16515,1.1635,1.16407,1.16473,1.1653,1.16363,18638
2017-07-21 14:00:00,1.16458,1.16539,1.16662,1.16443,1.16473,1.16554,1.16676,1.16458,23433
2017-07-21 15:00:00,1.16539,1.1654,1.16572,1.16476,1.16554,1.16555,1.16587,1.16489,13849
2017-07-21 16:00:00,1.1654,1.16654,1.16698,1.16529,1.16555,1.16669,1.16713,1.16543,10262
2017-07-21 17:00:00,1.16654,1.16752,1.16821,1.16648,1.16669,1.16767,1.16838,1.16664,13253
2017-07-21 18:00:00,1.16752,1.16776,1.16803,1.16718,1.16767,1.16792,1.16816,1.16733,10118
2017-07-21 19:00:00,1.16776,1.1668,1.16783,1.16638,1.16792,1.16695,1.16797,1.16652,7655
2017-07-21 20:00:00,1.1668,1.16626,1.16699,1.16595,1.16695,1.16653,1.16713,1.16625,9543
2017-07-23 19:00:00,1.16626,1.16644,1.16667,1.16543,1.16653,1.16692,1.16714,1.16636,91
2017-07-23 20:00:00,1.16644,1.16592,1.16662,1.16592,1.16692,1.16687,1.16733,1.16656,93
2017-07-23 21:00:00,1.16592,1.16641,1.16682,1.16604,1.16687,1.16706,1.16769,1.16677,891
2017-07-23 22:00:00,1.16641,1.16718,1.16733,1.16634,1.16706,1.16738,1.16753,1.1667,3878
2017-07-23 23:00:00,1.16718,1.16806,1.16811,1.16709,1.16738,1.1682,1.16826,1.16725,4305
2017-07-24 00:00:00,1.16806,1.16702,1.16835,1.16668,1.1682,1.16716,1.1685,1.16683,9278
2017-07-24 01:00:00,1.16702,1.16684,1.16705,1.16625,1.16716,1.16697,1.1672,1.16639,6001
2017-07-24 02:00:00,1.16684,1.16673,1.16695,1.16672,1.16697,1.16688,1.16709,1.16684,3236
2017-07-24 03:00:00,1.16673,1.1671,1.16747,1.16672,1.16688,1.16726,1.16761,1.16686,4256
2017-07-24 04:00:00,1.1671,1.167,1.16734,1.16687,1.16726,1.16716,1.16749,1.16703,3180
2017-07-24 05:00:00,1.167,1.16693,1.16745,1.16674,1.16716,1.16708,1.1676,1.16689,4329
2017-07-24 06:00:00,1.16693,1.1645,1.16713,1.16415,1.16708,1.16466,1.16728,1.1643,18994
2017-07-24 07:00:00,1.1645,1.1639,1.16607,1.16294,1.16466,1.16406,1.16622,1.1631,28663
2017-07-24 08:00:00,1.1639,1.16523,1.16536,1.16382,1.16406,1.16535,1.16552,1.16398,18491
2017-07-24 09:00:00,1.16523,1.16562,1.16567,1.16479,1.16535,1.16577,1.16582,1.16495,17532
2017-07-24 10:00:00,1.16562,1.16481,1.16592,1.16451,1.16577,1.16495,1.16606,1.16464,15383
2017-07-24 11:00:00,1.16481,1.1644,1.16517,1.16415,1.16495,1.16455,1.16532,1.16429,12733
2017-07-24 12:00:00,1.1644,1.1655,1.16568,1.16426,1.16455,1.16564,1.16583,1.16439,14765
2017-07-24 13:00:00,1.1655,1.1637,1.16553,1.16326,1.16564,1.1639,1.16568,1.16342,17863
2017-07-24 14:00:00,1.1637,1.16426,1.16498,1.16336,1.1639,1.16442,1.1651,1.1635,18693
2017-07-24 15:00:00,1.16426,1.16417,1.16472,1.16364,1.16442,1.16432,1.16486,1.16377,14991
2017-07-24 16:00:00,1.16417,1.16372,1.16433,1.16249,1.16432,1.16387,1.16448,1.16266,9977
2017-07-24 17:00:00,1.16372,1.16397,1.16402,1.16294,1.16387,1.16412,1.16416,1.16309,7894
2017-07-24 18:00:00,1.16397,1.16425,1.16429,1.16364,1.16412,1.1644,1.16444,1.16378,6543
2017-07-24 19:00:00,1.16425,1.16429,1.16467,1.16418,1.1644,1.16443,1.16482,1.16433,4772
2017-07-24 20:00:00,1.16429,1.16382,1.1643,1.16371,1.16443,1.16419,1.16444,1.16408,2899
2017-07-24 21:00:00,1.16382,1.16362,1.16439,1.16297,1.16419,1.1638,1.16468,1.16346,7591
2017-07-24 22:00:00,1.16362,1.16367,1.16387,1.16343,1.1638,1.16383,1.16402,1.16363,4352
2017-07-24 23:00:00,1.16367,1.1638,1.16397,1.16354,1.16383,1.16393,1.16413,1.16367,2758
2017-07-25 00:00:00,1.1638,1.16369,1.16399,1.16301,1.16393,1.16385,1.16412,1.16315,6391
2017-07-25 01:00:00,1.16369,1.16401,1.16418,1.16341,1.16385,1.16415,1.16434,1.16357,4748
2017-07-25 02:00:00,1.16401,1.16527,1.16563,1.16382,1.16415,1.16542,1.16578,1.16397,6927
2017-07-25 03:00:00,1.16527,1.16557,1.16557,1.16512,1.16542,1.16572,1.16572,1.16526,2706
2017-07-25 04:00:00,1.16557,1.16612,1.16627,1.16554,1.16572,1.16627,1.16643,1.16567,5986
2017-07-25 05:00:00,1.16612,1.16623,1.16623,1.16513,1.16627,1.16639,1.1664,1.1653,3690
2017-07-25 06:00:00,1.16623,1.16606,1.16684,1.1657,1.16639,1.16621,1.16698,1.16584,13525
2017-07-25 07:00:00,1.16606,1.16504,1.16613,1.16425,1.16621,1.16521,1.16628,1.1644,21582
2017-07-25 08:00:00,1.16504,1.1653,1.16672,1.16484,1.16521,1.16545,1.16686,1.16498,19981
2017-07-25 09:00:00,1.1653,1.16539,1.16577,1.1648,1.16545,1.16553,1.16592,1.16495,12551
2017-07-25 10:00:00,1.16539,1.16504,1.16556,1.16465,1.16553,1.16518,1.1657,1.16478,12100
